118.69.134.2:80
8.219.97.248:80
118.69.134.1:80 
125.25.82.190:8080 
121.240.126.113:8081 
36.6.145.53:8089 
117.57.92.190 
117.54.114.100:80
103.133.221.251:80
117.54.114.103:80
195.114.209.50:80
51.77.119.171:80
128.199.202.122:8080
117.54.114.102:80
8.213.129.15:443
159.65.77.168:8585
103.127.1.130:80
138.197.20.244:10005
8.219.97.248:80
47.243.124.21:8888
12.186.205.120:80
139.59.1.14:8080
185.217.143.96:80
67.43.228.253:14663
103.169.130.46:8080
200.174.198.120:8888
68.183.144.115:10012
89.58.48.220:10005
94.74.80.88:8989
159.203.61.169:8080
188.166.17.18:8881
47.88.3.19:8080
165.0.136.30:8080
138.68.60.8:8080
88.255.82.231:19000
198.49.68.80:80
162.248.225.127:80
162.223.94.164:80
47.56.110.204:8989
162.223.94.163:80
20.210.113.32:80
20.206.106.192:80
20.24.43.214:80
139.162.78.109:3128
165.227.0.192:80
183.100.14.134:8000
217.138.252.123:63828
197.243.16.190:80
186.121.235.66:8080
213.233.177.134:80
216.137.184.253:80
20.157.194.61:80
34.77.56.122:8080
218.255.187.60:80
47.245.127.76:8080
172.245.159.177:80
51.75.122.80:80
119.28.60.64:8090
202.131.65.110:80
51.75.206.209:80
104.236.195.90:10000
198.98.60.66:80
133.18.234.13:80
198.27.115.215:80
13.81.217.201:80
54.39.125.52:3128
190.103.177.131:80
12.186.205.123:80
185.140.53.137:80
50.169.62.104:80
50.171.32.226:80
50.168.72.122:80
50.204.219.225:80
50.168.163.179:80
50.204.219.229:80
107.1.93.222:80
50.222.245.40:80
50.204.219.227:80
50.218.57.64:80
107.1.93.215:80
50.171.32.229:80
107.1.93.210:80
50.228.141.102:80
50.170.90.31:80
50.217.226.47:80
50.228.141.100:80
50.168.72.116:80
50.231.110.26:80
50.227.121.39:80
107.1.93.208:80
50.227.121.38:80
50.168.210.232:80
50.218.57.74:80
212.107.31.118:80
50.170.90.27:80
66.191.31.158:80
50.169.62.111:80
50.217.226.40:80
50.171.32.224:80
50.170.90.28:80
50.222.245.44:80
50.217.226.45:80
50.228.141.103:80
50.200.12.84:80
50.239.72.19:80
50.200.12.85:80
20.205.61.143:80
50.228.141.99:80
103.148.24.172:8080
50.173.140.149:80
201.148.32.162:80
50.174.7.157:80
50.228.141.96:80
50.207.199.81:80
20.111.54.16:80
50.218.57.69:80
50.227.121.35:80
50.238.154.98:80
155.0.72.251:3128
50.207.199.83:80
50.172.75.126:80
107.1.93.216:80
50.173.140.144:80
50.206.111.88:80
41.207.187.178:80
107.1.93.221:80
50.168.163.178:80
80.150.50.226:80
50.204.190.234:80
50.239.72.16:80
50.200.12.82:80
50.173.140.148:80
107.1.93.219:80
50.170.90.34:80
50.217.226.46:80
50.222.245.41:80
50.220.168.134:80
213.143.113.82:80
41.230.216.70:80
50.218.57.66:80
50.168.72.113:80
50.168.72.117:80
96.113.159.162:80
61.72.254.69:8061
211.128.96.206:80
124.198.17.217:12999
37.187.25.85:80
50.168.210.236:80
213.157.6.50:80
50.168.72.118:80
50.174.145.8:80
118.69.134.3:80
80.228.235.6:80
50.170.90.25:80
50.227.121.37:80
50.169.135.10:80
50.171.32.231:80
50.227.121.36:80
50.218.57.67:80
50.168.163.182:80
50.217.226.42:80
50.218.57.68:80
68.185.57.66:80
116.203.28.43:80
194.67.91.153:80
50.168.163.180:80
129.150.39.9:80
50.207.199.86:80
50.173.140.145:80
50.227.121.34:80
50.168.163.177:80
85.8.68.2:80
50.168.72.115:80
154.202.101.225:3128
115.244.127.167:80
50.169.62.109:80
50.168.163.176:80
50.221.230.186:80
138.91.159.185:80
54.38.181.125:80
150.107.136.110:8082
50.174.7.153:80
191.96.100.33:3128
202.86.138.18:8080
50.218.57.65:80
202.165.72.194:5904
50.168.163.183:80
117.239.228.10:3128
50.122.86.118:80
72.10.160.170:14025
50.200.12.83:80
50.174.7.156:80
50.207.199.80:80
107.1.93.212:80
50.169.62.107:80
50.173.140.138:80
46.101.115.59:80
50.168.210.226:80
34.87.84.105:80
50.173.140.147:80
172.108.208.74:80
50.222.245.50:80
84.51.16.49:3310
50.207.199.84:80
50.168.163.166:80
50.172.23.10:80
50.169.62.110:80
50.171.152.30:80
50.174.145.10:80
50.228.141.101:80
189.202.188.149:80
50.235.240.86:80
133.242.229.79:33333
50.217.226.44:80
85.26.146.169:80
50.173.140.150:80
50.221.74.130:80
50.173.140.151:80
50.221.166.2:80
50.207.199.82:80
50.168.163.181:80
62.99.138.162:80
213.33.2.28:80
213.33.126.130:80
123.205.68.113:8193
142.171.194.101:80
68.188.59.198:80
50.174.145.15:80
50.204.219.224:80
68.183.143.134:80
190.58.248.86:80
136.244.99.51:8888
50.207.253.118:80
154.65.39.7:80
50.222.245.43:80
50.170.90.24:80
50.174.41.66:80
50.169.62.105:80
50.218.57.71:80
50.207.199.87:80
50.204.219.228:80
50.168.210.235:80
107.1.93.213:80
50.223.38.2:80
50.174.145.9:80
107.1.93.209:80
50.174.7.154:80
50.174.145.11:80
107.1.93.211:80
190.85.141.170:9090
154.202.101.73:3128
154.84.140.63:3128
94.198.221.222:8080
50.173.140.146:80
50.170.90.30:80
50.222.245.45:80
50.202.75.26:80
50.230.222.202:80
0.0.0.0:80
50.218.57.70:80
50.174.145.13:80
50.227.121.32:80
50.217.226.41:80
50.170.90.26:80
50.174.7.152:80
50.168.72.119:80
50.168.72.114:80
50.228.83.226:80
24.205.201.186:80
107.1.93.220:80
50.237.207.186:80
50.207.199.85:80
50.171.32.230:80
107.1.93.214:80
50.172.75.122:80
131.196.212.172:80
50.204.219.231:80
50.172.75.124:80
50.204.219.226:80
32.223.6.94:80
50.171.32.222:80
107.1.93.218:80
50.227.121.33:80
50.222.245.42:80
50.174.7.155:80
50.239.72.17:80
50.168.72.112:80
50.231.104.58:80
50.171.32.227:80
127.0.0.7:80
50.239.72.18:80
50.228.141.97:80
195.23.57.78:80
50.228.141.98:80
50.168.210.234:80
50.174.7.158:80
50.204.219.230:80
50.175.212.74:80
50.168.210.238:80
50.174.145.14:80
50.200.12.81:80
62.205.169.74:53281
103.124.198.118:8080
78.189.150.54:1453
138.197.16.249:10008
165.227.120.250:10004
197.255.125.12:80
